Timestamp,ax,ay,az,gx,gy,gz
1764312232630,2.2923,5.6997,7.3508,0.2489,-0.6689,-0.1828
1764312232640,0.1268,5.123,7.5206,0.3344,-1.0062,-0.2691
1764312232650,-0.7274,4.0654,8.7793,0.6081,-1.4681,-0.1868
1764312232660,-0.9021,4.063,9.2243,1.2538,-2.2417,0.1257
1764312232670,0.2704,3.6012,9.4828,2.2135,-4.0064,0.2844
1764312232680,1.2849,3.9793,10.2772,3.3411,-5.0041,0.29
1764312232690,2.3426,4.7641,10.1862,4.4671,-5.0041,0.2166
1764312232700,3.6538,5.7069,8.9037,5.0041,-5.0041,-0.0153
1764312232710,4.6158,6.3482,6.8339,5.0041,-5.0041,-0.3416
1764312232720,5.4054,6.7669,5.1565,5.0041,-5.0041,-0.6927
1764312232730,5.9318,7.2718,3.7831,5.0041,-5.0041,-1.0928
1764312232740,6.0203,7.7384,3.015,5.0041,-5.0041,-1.4485
1764312232750,5.8528,7.8844,2.4096,5.0041,-5.0041,-1.8462
1764312232760,5.5848,7.5829,2.0267,5.0041,-5.0041,-2.2083
1764312232770,4.4315,6.518,2.6704,5.0041,-5.0041,-2.7506
1764312232780,2.6967,5.1637,3.3978,5.0041,-5.0041,-3.1194
1764312232790,0.4451,3.3858,3.4792,5.0041,-5.0041,-3.311
1764312232800,-2.6082,1.5458,2.5603,5.0041,-5.0041,-3.2777
1764312232810,-5.6351,-0.146,-0.0144,5.0041,-5.0041,-3.0192
1764312232820,-8.7051,-1.7707,-5.1613,5.0041,-4.2495,-2.3604
1764312232830,-9.7101,-1.6869,-12.414,4.3176,-0.8028,-1.2767
1764312232840,-7.4441,-0.1005,-15.8931,2.6017,1.0796,-0.4931
1764312232850,-4.477,1.0289,-17.8193,1.5036,1.7431,-0.1836
1764312232860,-1.9214,2.0865,-18.463,0.7039,1.8053,-0.168
1764312232870,-1.5505,2.1153,-16.9149,-0.1103,1.1765,-0.5069
1764312232880,-2.9504,1.5147,-14.5316,-0.4027,0.9468,-0.5724
1764312232890,-4.4865,0.7657,-12.2441,-0.7069,1.1125,-0.409
