Timestamp,ax,ay,az,gx,gy,gz
1764394110410,0.6724,8.8511,3.9338,0.0544,-0.0996,-0.0272
1764394110420,0.6461,8.7506,4.3813,0.0974,-0.1721,-0.0354
1764394110430,0.4116,8.5735,4.8311,0.1939,-0.1868,-0.0466
1764394110440,-0.3015,8.5017,4.3789,0.3914,-0.113,0.035
1764394110450,-0.6867,8.4706,3.4122,0.4047,-0.051,0.1784
1764394110460,-0.414,8.6237,2.6321,0.3033,0.0145,0.306
1764394110470,0.5934,9.1214,2.053,0.0425,0.1341,0.4026
1764394110480,2.1488,9.4253,2.0219,-0.2773,0.237,0.3677
1764394110490,4.2209,9.5378,2.7135,-0.5017,-0.1234,0.1449
1764394110500,4.2018,9.7364,7.0588,-0.1539,-0.5203,-0.2957
1764394110510,2.8953,9.1645,6.4965,0.2925,-0.1939,-0.5397
1764394110520,1.1509,8.9946,3.807,0.4963,0.0365,-0.7152
1764394110530,-0.2919,8.8295,2.5555,0.4297,-0.0347,-0.6887
1764394110540,-1.3424,8.8128,2.2708,0.3109,-0.1556,-0.4609
1764394110550,-1.2179,8.4132,1.9597,0.0655,-0.2159,-0.1142
1764394110560,-0.9069,8.4395,2.4718,-0.1092,-0.2178,0.04
1764394110570,-0.2154,8.7338,3.2112,-0.2882,-0.0929,0.1915
1764394110580,0.3278,9.0425,3.3978,-0.4039,0.0147,0.2645
1764394110590,1.1127,9.1621,3.996,-0.5432,0.137,0.2721
1764394110600,1.3639,9.0401,4.3837,-0.5617,0.2086,0.2257
