Timestamp,ax,ay,az,gx,gy,gz
1764311424660,2.412,4.9214,8.0315,0.0557,-0.0006,0.1077
1764311424670,2.412,4.9214,8.0315,0.013,0.1451,0.108
1764311424680,2.2289,5.0459,7.5452,0.013,0.1451,0.108
1764311424690,2.2289,5.0459,7.5452,0.013,0.1451,0.108
1764311424700,2.2289,5.0459,7.5452,-0.2162,0.4388,0.1281
1764311424710,3.0311,5.5956,6.5976,-0.2162,0.4388,0.1281
1764311424720,3.0311,5.5956,6.5976,-0.815,0.8725,-0.1003
1764311424730,4.5194,5.7398,8.2804,-0.815,0.8725,-0.1003
1764311424740,4.5194,5.7398,8.2804,-0.2587,-0.4262,-0.4632
1764311424750,4.9615,5.2223,12.5815,-0.2587,-0.4262,-0.4632
1764311424760,4.9615,5.2223,12.5815,0.9113,-0.3485,-0.9296
1764311424770,0.81,4.7055,9.2728,0.9113,-0.3485,-0.9296
1764311424780,0.81,4.7055,9.2728,0.7558,-0.3454,-0.5256
1764311424790,-0.8728,3.3069,7.1749,0.7558,-0.3454,-0.5256
1764311424800,-0.8728,3.3069,7.1749,0.7558,-0.3454,-0.5256
