Timestamp,ax,ay,az,gx,gy,gz
1764393784930,0.0048,4.6014,8.7099,-0.1417,0.0738,-0.1556
1764393784940,0.0048,4.6014,8.7099,-0.1417,0.0738,-0.1556
1764393784950,-0.055,4.6038,8.8008,-0.0539,0.0522,-0.0521
1764393784960,-0.055,4.6038,8.8008,-0.0539,0.0522,-0.0521
1764393784970,0.2824,4.6134,8.5496,0.0347,-0.0473,0.0716
1764393784980,0.2824,4.6134,8.5496,0.0347,-0.0473,0.0716
1764393784990,0.6508,5.0321,8.4395,0.0589,-0.1419,0.1118
1764393785000,0.6508,5.0321,8.4395,0.0589,-0.1419,0.1118
1764393785010,0.7322,4.9938,8.5376,0.0399,-0.1504,0.0793
1764393785020,0.7322,4.9938,8.5376,0.0399,-0.1504,0.0793
1764393785030,0.5767,4.9699,8.5232,-0.042,-0.0678,0.0962
1764393785040,0.5767,4.9699,8.5232,-0.042,-0.0678,0.0962
1764393785050,0.7681,5.1398,8.6309,-0.0938,-0.0257,0.141
1764393785060,0.7681,5.1398,8.6309,-0.0938,-0.0257,0.141
1764393785070,0.6963,5.0345,8.741,-0.0716,0.006,0.1336
1764393785080,0.6963,5.0345,8.741,-0.0716,0.006,0.1336
1764393785090,0.5838,4.8048,8.5089,-0.0786,0.064,0.1949
1764393785100,0.5838,4.8048,8.5089,-0.0786,0.064,0.1949
1764393785110,0.8255,5.0776,8.4945,-0.0757,0.0032,0.2763
1764393785120,0.8255,5.0776,8.4945,-0.0757,0.0032,0.2763
1764393785130,1.2993,5.0489,8.9204,0.0826,-0.1597,0.2439
1764393785140,1.2993,5.0489,8.9204,0.0826,-0.1597,0.2439
1764393785150,1.2443,5.2092,8.8271,0.3299,-0.3419,0.1669
1764393785160,1.2443,5.2092,8.8271,0.3299,-0.3419,0.1669
1764393785170,1.2036,5.4006,9.1789,0.5663,-0.6397,0.1156
1764393785180,1.2036,5.4006,9.1789,0.5663,-0.6397,0.1156
1764393785190,1.1103,5.5825,8.4347,0.6985,-0.2164,0.1323
1764393785200,1.1103,5.5825,8.4347,0.6985,-0.2164,0.1323
1764393785210,6.9918,6.463,8.5591,0.1753,0.7986,0.1295
1764393785220,6.9918,6.463,8.5591,0.1753,0.7986,0.1295
1764393785230,2.0674,6.7071,6.1711,-0.9865,1.6232,-0.3902
1764393785240,2.0674,6.7071,6.1711,-0.9865,1.6232,-0.3902
1764393785250,-1.4429,4.4841,7.9872,-1.0649,1.2417,-0.5928
1764393785260,-1.4429,4.4841,7.9872,-1.0649,1.2417,-0.5928
1764393785270,-1.809,3.3117,9.9805,-0.6361,0.3425,-0.093
1764393785280,-1.809,3.3117,9.9805,-0.6361,0.3425,-0.093
