Timestamp,ax,ay,az,gx,gy,gz
1764311171140,3.5174,2.1535,8.9827,0.0377,-0.1759,-0.0641
1764311171150,3.082,2.0219,8.9898,0.0779,-0.2894,-0.0481
1764311171160,3.5055,1.8592,9.399,0.1545,-0.4957,0.0069
1764311171170,3.8979,2.2397,9.7005,0.2419,-0.6315,0.0263
1764311171180,4.1755,2.3617,9.7005,0.3299,-0.728,-0.005
1764311171190,4.4339,2.3952,9.9254,0.4658,-0.8427,-0.0637
1764311171200,4.0774,2.6919,9.3966,0.5576,-0.7124,-0.0663
1764311171210,3.5557,3.1633,8.083,0.5683,-0.2853,0.0589
1764311171220,4.5105,3.3188,6.7047,0.4467,0.1823,0.1801
1764311171230,6.1161,3.8572,5.5777,0.1732,0.7848,0.1994
1764311171240,3.527,3.6993,4.4626,-0.2895,0.5017,-0.1142
1764311171250,2.9647,2.1344,7.6427,-0.5852,-0.1277,-0.2856
1764311171260,3.8836,1.8449,10.8299,-0.5483,-0.2169,-0.084
1764311171270,5.1446,2.6656,11.5095,-0.1733,0.1185,0.0987
1764311171280,5.2235,2.5029,9.2865,0.0819,0.2747,-0.0325
1764311171290,4.4794,2.2205,8.3868,0.0733,0.1174,-0.1368
1764311171300,3.5557,2.7159,8.8558,0.0579,-0.0852,-0.1341
1764311171310,3.2877,2.7805,8.9157,0.0901,-0.0003,-0.0689
