Timestamp,ax,ay,az,gx,gy,gz
1764388558810,3.7065,5.8576,7.9298,0.2786,-0.5791,-0.006
1764388558820,3.0772,5.3575,7.815,0.1513,-0.4893,0.0183
1764388558830,2.0076,5.068,8.0949,0.0939,-0.5768,0.0756
1764388558840,2.3713,5.415,8.3342,0.2402,-0.9345,0.2506
1764388558850,3.3954,5.5896,8.5854,0.518,-1.4419,0.3154
1764388558860,4.721,6.0993,8.8176,0.9158,-2.0545,0.2184
1764388558870,5.6255,7.0158,9.1382,1.4316,-2.7506,-0.0362
1764388558880,5.9246,7.3053,9.2459,1.7834,-3.1629,-0.2364
1764388558890,5.9533,7.2215,9.0473,2.6542,-4.1096,-0.7109
1764388558900,5.7643,7.2598,8.3438,3.2258,-4.685,-0.9878
1764388558910,5.8289,7.3173,7.1928,3.6812,-5.0041,-1.2155
1764388558920,6.3051,7.657,5.9749,3.9373,-5.0041,-1.3867
1764388558930,7.0253,8.6692,4.9603,4.1522,-5.0041,-1.6525
1764388558940,7.6857,9.1717,4.264,4.2811,-5.0041,-1.9736
1764388558950,8.1619,9.5282,3.6562,4.3011,-5.0041,-2.3615
1764388558960,8.0351,9.5474,3.7783,4.2499,-5.0041,-2.5902
1764388558970,7.6379,9.3488,4.1204,4.1702,-5.0041,-2.8204
1764388558980,7.3699,9.3057,3.9577,4.0972,-5.0041,-2.9972
1764388558990,6.8602,9.3631,3.6682,4.0308,-5.0041,-3.1449
1764388559000,6.2477,9.3559,3.082,3.9494,-5.0041,-3.3023
1764388559010,5.5394,9.1262,2.211,3.8497,-5.0041,-3.4129
1764388559020,4.9292,8.8917,1.4429,3.7318,-5.0041,-3.4798
1764388559030,4.1707,8.6836,0.7633,3.589,-5.0041,-3.5222
1764388559040,2.9623,8.4132,-0.5097,3.3194,-5.0041,-3.5345
1764388559050,2.3139,8.351,-1.1127,3.1739,-4.9495,-3.5164
1764388559060,1.3807,8.0064,-1.7539,2.9561,-4.6762,-3.4883
1764388559070,0.5815,7.7958,-2.0339,2.7942,-4.4561,-3.452
1764388559080,-0.7107,7.48,-2.3665,2.5125,-4.0613,-3.3158
1764388559090,-1.5577,7.1785,-2.5579,2.2571,-3.6924,-3.144
1764388559100,-2.3545,6.9081,-2.7446,1.9862,-3.2441,-2.9515
1764388559110,-3.0102,6.6544,-3.1202,1.7057,-2.7614,-2.7322
1764388559120,-3.4481,6.6114,-3.4552,1.4772,-2.3899,-2.543
1764388559130,-3.8237,6.6138,-3.9888,1.1379,-1.8673,-2.2633
1764388559140,-3.9314,6.597,-4.4626,0.8615,-1.4901,-2.0484
1764388559150,-4.0319,6.5874,-4.7426,0.6005,-1.1663,-1.8544
1764388559160,-4.0582,6.5013,-5.0225,0.3587,-0.8971,-1.6814
1764388559170,-3.984,6.5468,-5.1422,0.1898,-0.7512,-1.5618
1764388559180,-3.8405,6.6951,-5.2235,0.0237,-0.6608,-1.4519
1764388559190,-3.7998,6.6544,-5.1972,-0.0767,-0.638,-1.4016
1764388559200,-3.661,6.7214,-4.9053,-0.2046,-0.6406,-1.3506
1764388559210,-3.6203,6.8172,-4.3573,-0.276,-0.6232,-1.3302
1764388559220,-3.728,6.7669,-3.9673,-0.2961,-0.5754,-1.3292
1764388559230,-3.984,6.6353,-3.6299,-0.3103,-0.4534,-1.3237
1764388559240,-4.2879,6.5779,-3.4863,-0.3169,-0.3836,-1.2958
1764388559250,-4.5631,6.5252,-3.7041,-0.3251,-0.3288,-1.2605
1764388559260,-4.8814,6.3386,-3.8812,-0.3293,-0.3596,-1.2497
1764388559270,-5.1494,6.1017,-3.9218,-0.3416,-0.4317,-1.2317
1764388559280,-5.2618,5.8792,-4.0319,-0.3691,-0.4902,-1.2036
1764388559290,-5.458,5.7212,-4.0415,-0.4304,-0.5818,-1.1681
1764388559300,-5.7284,5.4843,-3.8166,-0.498,-0.6274,-1.1412
1764388559310,-6.1854,5.3623,-3.3787,-0.5663,-0.6313,-1.0968
1764388559320,-6.5013,5.135,-2.9432,-0.6422,-0.5818,-1.0215
1764388559330,-6.9009,4.8814,-2.3378,-0.7147,-0.4804,-0.9149
1764388559340,-7.4608,4.7545,-1.6941,-0.7721,-0.2886,-0.7663
1764388559350,-8.083,4.4865,-1.2658,-0.8554,0.0476,-0.5654
1764388559360,-8.5352,4.2736,-1.3041,-0.9885,0.4818,-0.3077
1764388559370,-8.9994,4.1324,-1.4237,-1.1978,0.9555,0.0093
1764388559380,-9.746,3.7232,-1.4644,-1.4905,1.5817,0.3844
1764388559390,-10.7294,3.1394,-1.3591,-1.9438,2.4972,0.8741
1764388559400,-11.8851,2.7182,-1.6822,-2.6286,3.7127,1.4791
1764388559410,-13.2251,2.2062,-1.8951,-3.5955,5.0041,2.2049
1764388559420,-14.5196,1.6487,-2.0267,-4.5584,5.0041,2.906
1764388559430,-16.1468,0.7394,-2.1823,-5.0041,5.0041,3.9619
1764388559440,-17.068,-0.4714,-1.9717,-5.0041,5.0041,5.0041
1764388559450,-16.6134,-2.3019,-1.2132,-5.0041,5.0041,5.0041
1764388559460,-14.5531,-3.8189,0.5934,-5.0041,5.0041,5.0041
1764388559470,-11.342,-5.5944,3.5821,-5.0041,5.0041,5.0041
1764388559480,-8.5376,-7.3986,7.0373,-5.0041,5.0041,5.0041
1764388559490,-5.2068,-9.2913,12.6317,-5.0041,5.0041,5.0041
1764388559500,-2.8092,-9.1214,17.257,-5.0041,5.0041,5.0041
1764388559510,-1.5553,-8.5902,22.2245,-5.0041,5.0041,5.0041
1764388559520,-1.3854,-8.1571,25.7707,-5.0041,5.0041,5.0041
1764388559530,-0.5408,-7.7121,28.8335,-5.0041,5.0041,5.0041
1764388559540,2.2636,-5.2092,31.815,-5.0041,5.0041,5.0041
1764388559550,5.8098,-1.2514,33.7819,-5.0041,5.0041,5.0041
1764388559560,9.2076,2.7446,30.4439,-3.0873,4.4973,3.1189
1764388559570,10.1575,5.805,23.7272,1.2738,-0.8694,0.943
1764388559580,6.4367,5.1589,14.4574,5.0041,-5.0041,-1.6189
1764388559590,-1.1055,-0.0574,10.3418,5.0041,-5.0041,-3.2086
1764388559600,-5.6375,-3.0197,12.9356,5.0041,-5.0041,-2.8999
1764388559610,-6.2979,-3.7615,18.1065,4.0059,-5.0041,-1.6318
1764388559620,-4.4746,-1.943,21.1765,2.2387,-4.6487,-0.2401
1764388559630,-2.1009,0.3637,20.2337,0.6944,-0.4794,0.7813
1764388559640,-0.055,1.2036,17.8864,-0.4271,2.2797,1.3208
1764388559650,0.6915,3.4074,14.1775,-0.7854,4.131,1.7839
1764388559660,1.8927,5.281,8.8152,-0.8644,4.3568,1.9876
1764388559670,3.4887,6.274,6.2094,-0.7529,2.9424,1.6782
1764388559680,3.9649,6.7789,6.664,-0.1807,1.0072,1.0852
1764388559690,3.7065,6.4917,7.1689,0.68,-0.7789,0.4119
1764388559700,3.0652,5.7906,7.2861,1.4671,-2.3578,-0.1801
1764388559710,2.3043,5.2738,7.815,2.0323,-3.5555,-0.5675
1764388559720,1.809,4.8263,8.7984,2.3897,-4.1498,-0.7732
