Timestamp,ax,ay,az,gx,gy,gz
1764312995680,1.8281,6.7382,5.5801,1.7605,-2.147,-0.3832
1764312995690,-1.0146,6.4319,5.2355,1.8871,-2.4619,-0.3097
1764312995700,-1.2514,5.951,6.1807,2.04,-2.1799,0.0814
1764312995710,-0.9763,6.0754,4.2808,2.0415,-1.5635,0.5487
1764312995720,0.4427,6.7884,1.9573,1.3538,-0.5082,1.1947
1764312995730,2.2899,6.8842,1.8975,0.7511,0.1177,1.4264
1764312995740,5.1111,7.7839,3.2255,-0.1061,1.2752,1.6049
1764312995750,7.7192,9.2865,4.2688,-1.0786,3.05,1.5521
1764312995760,8.7266,9.813,4.0415,-1.7188,4.2548,1.4035
1764312995770,9.2387,10.1216,3.4935,-2.5782,5.0041,1.1351
1764312995780,9.5498,10.9519,4.2808,-4.2017,5.0041,0.6486
1764312995790,10.1336,11.3109,4.8957,-4.8006,5.0041,0.473
1764312995800,11.9904,11.8899,5.0536,-5.0041,5.0041,-0.1437
1764312995810,12.2465,11.8253,3.6586,-5.0041,5.0041,-0.7404
1764312995820,11.7392,11.2965,2.4287,-5.0041,5.0041,-1.3599
1764312995830,10.2987,10.2293,0.9356,-5.0041,5.0041,-2.0007
1764312995840,8.1954,8.8582,-1.3663,-5.0041,5.0041,-2.6319
1764312995850,5.3408,7.2383,-2.8666,-5.0041,5.0041,-3.1119
1764312995860,-0.012,3.4074,-5.0177,-5.0041,5.0041,-3.6421
1764312995870,-4.9962,1.5386,-6.2189,-4.7637,5.0041,-3.9236
1764312995880,-9.9039,-0.7681,-8.1045,-2.7721,5.0041,-4.1769
1764312995890,-13.2826,-2.7948,-7.6451,-1.0983,3.4899,-4.1982
1764312995900,-15.6419,-5.3743,-1.8616,0.5924,-1.2373,-3.8782
1764312995910,-15.9123,-7.6905,3.3643,1.5411,-3.7857,-3.1447
1764312995920,-14.3115,-7.5661,8.6477,1.8462,-4.1464,-1.948
