Timestamp,ax,ay,az,gx,gy,gz
1764311784830,2.5986,4.9651,8.1739,-0.2046,0.423,-0.2622
1764311784840,2.2756,4.855,7.9681,-0.1961,0.4271,-0.2523
1764311784850,2.1368,4.8263,8.0327,-0.1713,0.3932,-0.2205
1764311784860,2.0411,4.8479,7.7575,-0.1552,0.3447,-0.1797
1764311784870,1.8209,4.7617,7.7551,-0.1377,0.2268,-0.1352
1764311784880,1.7946,4.7234,7.9992,-0.0889,0.0441,-0.0742
1764311784890,1.7204,4.7186,8.2289,-0.0197,-0.109,-0.0345
1764311784900,1.6343,4.5344,8.4778,0.0896,-0.2633,0.0107
1764311784910,1.5482,4.4435,8.5065,0.1956,-0.3845,0.0634
1764311784920,1.407,4.3095,8.3486,0.3254,-0.5457,0.1379
1764311784930,1.2012,4.2042,8.1715,0.5162,-0.8592,0.2387
1764311784940,0.8877,4.0965,7.9609,0.7292,-1.2613,0.3265
1764311784950,0.5503,3.862,7.7815,1.0134,-1.8444,0.4187
1764311784960,0.4283,3.6036,7.4465,1.304,-2.4841,0.4931
1764311784970,0.1747,3.1442,7.2526,1.9106,-3.8833,0.5818
1764311784980,-0.2273,2.8834,7.279,2.5363,-5.0041,0.6443
1764311784990,-0.6173,2.6871,7.0469,3.4066,-5.0041,0.7002
1764311785000,-0.871,2.2564,5.2164,5.0041,-5.0041,0.7631
1764311785010,-1.06,1.9765,3.8189,5.0041,-5.0041,0.9048
1764311785020,-1.2179,1.5434,3.0508,5.0041,-5.0041,1.2808
1764311785030,-1.6128,1.4883,1.5458,5.0041,-5.0041,1.8784
1764311785040,-1.7707,0.1962,-0.7274,5.0041,-5.0041,2.709
1764311785050,-0.5551,-0.7657,-3.2566,5.0041,-5.0041,3.759
1764311785060,1.4764,-1.3472,-4.1348,5.0041,-5.0041,4.2276
1764311785070,4.9962,-1.5936,-4.3645,5.0041,-5.0041,4.4318
1764311785080,10.5188,1.5147,-4.4459,5.0041,-5.0041,4.0028
1764311785090,13.5936,4.5511,-4.0247,5.0041,-3.489,3.3996
1764311785100,16.398,6.2429,-5.6231,4.2961,-0.4326,2.4926
1764311785110,16.9412,6.5755,-7.9059,3.3141,1.5094,1.6244
1764311785120,14.0602,5.9151,-11.2989,2.0809,3.0954,0.4945
1764311785130,10.483,4.0247,-11.9809,1.3604,3.4659,-0.0281
1764311785140,7.3125,1.9334,-12.079,0.8767,3.4677,-0.1932
1764311785150,5.8959,0.5743,-12.1436,0.5576,3.2944,-0.0312
1764311785160,6.1902,0.0598,-11.9665,0.3558,3.1015,0.2272
1764311785170,7.6044,0.2728,-11.4497,0.1408,2.91,0.4777
1764311785180,8.9252,0.8423,-10.9711,0.0046,2.8416,0.5947
1764311785190,10.5882,2.1224,-10.7605,-0.1956,2.7461,0.6099
1764311785200,12.4857,3.1298,-9.8752,-0.4636,2.8533,0.465
1764311785210,13.5817,3.6945,-9.4732,-0.6793,3.1227,0.2724
1764311785220,13.797,3.7711,-9.466,-0.7367,3.2087,0.2124
1764311785230,16.0223,5.3504,-9.3057,-1.3975,4.0532,-0.4401
1764311785240,17.2259,6.3697,-9.0329,-2.0143,4.9106,-1.0626
1764311785250,17.5849,6.3841,-8.6644,-2.584,5.0041,-1.6655
1764311785260,17.6973,6.2189,-7.9801,-3.047,5.0041,-2.1257
1764311785270,17.482,5.9007,-6.6903,-3.6302,5.0041,-2.6916
1764311785280,16.7569,5.2068,-5.1135,-4.1291,5.0041,-3.1878
1764311785290,15.5773,4.5823,-3.1298,-4.5057,5.0041,-3.6644
1764311785300,14.991,4.2951,-2.5675,-4.6383,5.0041,-4.0099
1764311785310,13.6487,3.9194,-1.9573,-4.6556,5.0041,-4.2774
1764311785320,11.6913,2.6776,-0.8853,-4.5789,5.0041,-4.5968
1764311785330,8.6548,1.2969,0.0742,-4.2507,5.0041,-4.7947
1764311785340,3.7089,-0.5647,0.6078,-3.4798,5.0041,-4.5978
1764311785350,-0.1005,-1.0768,0.658,-2.6877,5.0041,-4.1542
1764311785360,-2.4263,-1.0648,0.4786,-2.0969,5.0041,-3.7009
1764311785370,-3.9984,-0.7609,0.682,-1.586,3.8984,-3.1898
1764311785380,-4.0965,0.5264,2.4694,-0.9103,1.3748,-2.2897
1764311785390,-2.936,1.5864,4.4243,-0.5892,0.1222,-1.7761
1764311785400,-1.5314,2.2899,6.5444,-0.3928,-0.553,-1.3847
1764311785410,-0.4666,2.68,8.0997,-0.2886,-0.7362,-1.1115
1764311785420,0.2967,3.1322,9.119,-0.222,-0.6171,-0.8905
1764311785430,1.0959,3.6634,9.2028,-0.1991,-0.1252,-0.68
1764311785440,1.3424,3.8333,8.8582,-0.2271,0.2828,-0.522
1764311785450,1.4572,4.0774,8.2193,-0.3227,0.7158,-0.3338
1764311785460,1.5793,4.1492,7.6259,-0.3882,0.8755,-0.2248
1764311785470,1.4788,4.252,7.0804,-0.4111,0.852,-0.0927
1764311785480,1.5099,4.3167,6.585,-0.3187,0.5139,0.0701
1764311785490,1.7539,4.2832,6.396,-0.15,0.0531,0.2043
1764311785500,2.2947,4.4507,6.7358,0.0263,-0.4009,0.3372
1764311785510,2.814,4.788,7.2455,0.1013,-0.5707,0.4172
1764311785520,3.7089,5.0871,7.2024,0.0967,-0.5603,0.467
1764311785530,4.4243,5.3815,7.4943,0.0423,-0.4501,0.4742
1764311785540,4.8598,5.5681,7.1904,0.0194,-0.308,0.4572
1764311785550,5.324,5.7308,7.212,-0.0003,-0.2123,0.3984
1764311785560,5.4676,5.8313,7.0086,-0.0133,-0.1628,0.3425
1764311785570,5.7188,5.8816,7.1617,-0.0221,-0.091,0.2558
1764311785580,5.726,5.9342,7.1713,-0.0557,0.0603,0.1683
1764311785590,5.6495,5.994,7.0014,-0.1323,0.2729,0.0574
1764311785600,5.5777,6.0371,6.9751,-0.2265,0.474,-0.0396
1764311785610,5.3504,5.8433,6.9368,-0.3102,0.6187,-0.108
1764311785620,5.0249,5.6686,6.9248,-0.3755,0.6868,-0.1623
1764311785630,4.6134,5.4963,7.2287,-0.3572,0.6275,-0.2175
1764311785640,4.4267,5.3623,7.2431,-0.2688,0.4757,-0.2442
1764311785650,4.5966,5.4461,7.5996,-0.191,0.337,-0.2576
1764311785660,4.7928,5.5513,7.7862,-0.1892,0.3538,-0.283
1764311785670,5.0034,5.6542,7.8365,-0.2297,0.4536,-0.3326
1764311785680,5.2977,5.9342,8.083,-0.2955,0.6132,-0.4064
1764311785690,5.5178,6.2261,8.2696,-0.4227,0.9728,-0.5136
1764311785700,6.0514,6.6473,8.0566,-0.6083,1.3934,-0.651
1764311785710,6.5827,7.0229,7.8245,-0.8128,1.7816,-0.8193
1764311785720,6.5444,6.9942,7.6881,-1.118,2.3555,-1.0646
1764311785730,6.0419,6.6114,7.4345,-1.4137,2.8839,-1.2865
1764311785740,5.1733,6.1496,6.9823,-1.6884,3.264,-1.4702
1764311785750,4.733,5.6949,6.7454,-1.855,3.4175,-1.5791
1764311785760,4.2066,5.324,7.0349,-2.0337,3.5232,-1.6623
1764311785770,4.0558,5.2403,7.1665,-2.1515,3.5957,-1.7581
