Timestamp,ax,ay,az,gx,gy,gz
1764388680140,2.3928,3.6395,7.2646,0.3245,-0.2011,0.0501
1764388680150,0.9523,3.3236,8.4323,0.4394,-0.7973,0.011
1764388680160,1.6175,3.2351,8.7506,0.8091,-1.4293,0.1741
1764388680170,2.9886,3.4935,9.6766,1.2187,-2.1689,0.2384
1764388680180,4.6493,4.197,10.4279,1.677,-2.7833,0.0883
1764388680190,5.7308,5.0489,10.5835,2.148,-3.3662,-0.1843
1764388680200,6.5731,5.391,10.6193,2.6221,-4.0031,-0.5322
1764388680210,7.0899,5.4963,10.7366,3.1125,-4.6528,-0.9224
1764388680220,7.5422,5.7308,10.5165,3.6319,-5.0041,-1.316
1764388680230,7.6666,5.9294,10.1504,4.1746,-5.0041,-1.7014
1764388680240,7.8413,5.9414,9.411,4.5742,-5.0041,-1.9878
1764388680250,7.9346,6.1208,8.6644,4.9477,-5.0041,-2.2881
1764388680260,8.1882,6.4917,7.6355,5.0041,-5.0041,-2.5588
1764388680270,8.7841,6.8794,6.4271,5.0041,-5.0041,-2.7478
1764388680280,9.1621,7.3771,6.2142,5.0041,-5.0041,-2.9398
1764388680290,9.3464,7.4201,6.2955,5.0041,-5.0041,-3.1292
1764388680300,9.4995,7.8413,6.4271,5.0041,-5.0041,-3.3266
1764388680310,9.4828,8.0542,5.7858,5.0041,-5.0041,-3.5473
1764388680320,9.4325,8.0566,4.7569,5.0041,-5.0041,-3.7448
1764388680330,8.7864,8.0064,2.8475,4.9689,-5.0041,-4.0615
1764388680340,7.5182,7.4465,1.6774,4.8251,-5.0041,-4.2925
1764388680350,6.2883,6.7717,1.1222,4.6882,-5.0041,-4.4149
1764388680360,4.1659,6.1591,0.6006,4.5158,-5.0041,-4.5138
1764388680370,2.5842,5.5968,0.1795,4.3924,-5.0041,-4.4999
1764388680380,1.1629,5.1829,-0.3111,4.2877,-4.9263,-4.4147
1764388680390,-0.0933,4.7904,-0.993,4.158,-4.5233,-4.2733
1764388680400,-0.5145,4.6516,-1.3663,4.0908,-4.3388,-4.2075
1764388680410,-2.1033,4.2209,-3.5151,3.6608,-3.5265,-3.8831
1764388680420,-2.8618,4.0415,-4.6804,3.353,-3.1043,-3.6924
1764388680430,-3.7184,3.7854,-5.8457,2.8883,-2.5888,-3.4199
1764388680440,-4.7067,3.6347,-6.8052,2.2713,-1.9471,-3.0009
1764388680450,-5.4174,3.5916,-7.2622,1.708,-1.3879,-2.6147
1764388680460,-5.7547,3.5844,-7.4871,1.1335,-0.7747,-2.1852
1764388680470,-5.5705,3.7735,-7.5422,0.7008,-0.277,-1.8485
1764388680480,-4.989,4.1085,-7.8556,0.0353,0.4876,-1.4334
1764388680490,-4.5081,4.3621,-7.7647,-0.4614,1.0866,-1.1747
1764388680500,-3.9888,4.5727,-7.7312,-0.9117,1.6194,-1.0017
1764388680510,-3.8189,4.599,-7.5661,-1.2465,1.9367,-0.8798
1764388680520,-3.8812,4.6397,-7.212,-1.4613,2.0889,-0.7972
1764388680530,-4.0678,4.5607,-6.9033,-1.5536,2.107,-0.7546
1764388680540,-4.2712,4.6325,-6.3266,-1.5846,2.0038,-0.6994
1764388680550,-4.5942,4.3956,-5.4628,-1.5365,1.8198,-0.6298
1764388680560,-4.9771,4.3837,-4.7689,-1.465,1.7455,-0.5528
1764388680570,-5.4843,4.3167,-4.2209,-1.4308,1.7866,-0.4546
1764388680580,-6.3123,4.3645,-3.8118,-1.4404,2.0039,-0.2405
1764388680590,-7.2503,4.1946,-3.7137,-1.5968,2.587,0.1967
1764388680600,-8.1595,3.9338,-4.0917,-1.9027,3.3396,0.7285
1764388680610,-8.942,3.7926,-4.3119,-2.4642,4.3918,1.4238
1764388680620,-9.2961,3.6491,-4.4291,-2.9716,5.0041,1.885
1764388680630,-9.9589,3.0317,-5.2379,-4.5984,5.0041,3.0763
1764388680640,-9.8967,2.3163,-5.1063,-5.0041,5.0041,3.826
1764388680650,-9.5856,1.1868,-4.0941,-5.0041,5.0041,4.9462
1764388680660,-9.1214,-0.3278,-2.8618,-5.0041,5.0041,5.0041
1764388680670,-8.7912,-2.1799,-1.2969,-5.0041,5.0041,5.0041
1764388680680,-8.1547,-4.5392,1.5984,-5.0041,5.0041,5.0041
1764388680690,-6.9655,-8.0207,5.683,-5.0041,5.0041,5.0041
1764388680700,-6.4199,-10.3394,10.2772,-5.0041,5.0041,5.0041
1764388680710,-5.9773,-12.0239,14.4742,-5.0041,5.0041,5.0041
1764388680720,-5.793,-12.3853,15.2758,-5.0041,5.0041,5.0041
1764388680730,-6.0514,-13.9741,22.4279,-5.0041,5.0041,5.0041
1764388680740,-6.518,-14.4,27.8477,-5.0041,5.0041,5.0041
1764388680750,-5.6566,-13.3591,34.2317,-5.0041,5.0041,5.0041
1764388680760,-0.1292,-9.9398,38.3187,-5.0041,5.0041,5.0041
1764388680770,4.5559,-6.6999,37.5841,-5.0041,5.0041,4.574
1764388680780,9.6885,-0.4116,28.5392,1.5899,-1.877,1.5797
1764388680790,3.6251,-2.924,15.1825,5.0041,-5.0041,-1.3635
1764388680800,-4.9101,-7.5422,10.191,5.0041,-5.0041,-2.3094
1764388680810,-10.6935,-10.325,9.588,5.0041,-5.0041,-1.6078
1764388680820,-10.7366,-10.1982,12.189,4.3206,-5.0041,-0.3303
1764388680830,-5.8744,-5.5848,19.4154,1.6776,-4.1255,1.3683
1764388680840,-2.6489,-3.0508,22.0618,0.46,-0.8772,2.0678
1764388680850,0.9571,-1.1318,19.8293,-0.6732,3.1803,2.6434
1764388680860,2.8857,0.5599,15.7089,-1.0731,4.7237,2.7397
1764388680870,3.6467,1.1414,12.5145,-0.9905,4.7667,2.5652
1764388680880,4.0032,2.0267,9.2626,-0.4195,3.5375,2.1194
1764388680890,3.3835,2.7135,7.2287,0.7466,0.9047,1.374
1764388680900,2.1799,2.6177,6.6162,1.7921,-1.4239,0.7755
1764388680910,0.9787,1.8808,7.0421,2.5287,-3.1742,0.3801
1764388680920,0.335,1.5147,7.7001,2.8109,-3.9486,0.2376
1764388680930,-0.1029,1.2538,9.119,2.7967,-4.0907,0.2584
1764388680940,-0.1029,1.1222,9.8991,2.4648,-3.3866,0.4114
1764388680950,0.1196,1.2012,9.9924,1.9245,-2.2046,0.618
1764388680960,0.4499,1.3041,9.4181,1.2352,-0.8919,0.8131
1764388680970,0.6939,1.3974,8.9707,0.5756,0.2169,0.9821
1764388680980,1.0169,1.6774,8.9635,0.1565,0.8212,1.0643
1764388680990,1.4931,1.8879,8.741,-0.1729,1.1484,1.0646
1764388681000,1.9741,2.321,8.7051,-0.1526,0.8639,0.9586
1764388681010,1.6774,2.6704,8.8774,0.0651,0.274,0.7808
1764388681020,0.4786,2.5866,8.6692,0.4,-0.3653,0.6242
1764388681030,-0.524,1.8066,8.0016,0.6674,-0.9853,0.5733
1764388681040,-0.749,0.481,8.272,1.0304,-1.8364,0.5731
1764388681050,-0.2991,0.9811,9.2937,1.2851,-2.2814,0.7833
1764388681060,1.0528,1.5458,10.2652,1.42,-2.2885,0.9672
1764388681070,2.1703,2.1129,10.6863,1.3998,-1.9099,0.9968
1764388681080,2.5842,2.4574,10.5236,1.3103,-1.452,0.9617
1764388681090,2.6584,2.5196,10.0451,1.1704,-0.9841,0.9285
1764388681100,2.345,2.6034,9.1789,0.8448,-0.3848,0.8964
1764388681110,2.0219,2.5507,8.8989,0.6393,-0.2016,0.8897
1764388681120,1.8592,2.4766,8.7936,0.5499,-0.2083,0.8935
