Timestamp,ax,ay,az,gx,gy,gz
1764311080260,2.857,2.5412,9.186,-0.0912,0.1153,-0.0415
1764311080270,2.6943,2.4885,9.0999,-0.0757,0.0838,-0.0298
1764311080280,2.5842,2.5555,9.0855,-0.0623,0.0524,-0.0063
1764311080290,2.546,2.5388,8.9611,-0.0451,0.0195,0.0073
1764311080300,2.5029,2.3976,9.0305,-0.0449,0.0017,0.0272
1764311080310,2.6058,2.5244,9.0209,-0.0545,-0.0174,0.0394
1764311080320,2.6512,2.5603,9.1669,-0.0608,-0.0304,0.0486
1764311080330,2.6991,2.5651,9.2937,-0.0296,-0.0672,0.0715
1764311080340,2.7589,2.7015,9.3942,0.0455,-0.1969,0.0996
1764311080350,2.9288,2.723,9.6455,0.1593,-0.3514,0.1138
1764311080360,3.0245,2.5699,9.7723,0.3123,-0.5305,0.118
1764311080370,3.1801,2.5842,10.1264,0.4478,-0.7001,0.1158
1764311080380,3.5246,2.7182,10.4471,0.6371,-0.9035,0.0831
1764311080390,3.7137,2.6512,10.6768,0.9128,-1.1133,-0.011
1764311080400,3.5151,2.6321,10.3609,1.0682,-1.2051,-0.0142
1764311080410,3.5031,3.0173,9.8417,1.212,-1.2101,-0.0312
1764311080420,3.3835,2.656,9.2363,1.2162,-1.109,-0.0388
1764311080430,3.4528,2.735,8.7386,1.1663,-0.9287,0.0023
1764311080440,3.6203,2.8857,8.1643,1.0823,-0.6183,0.0252
1764311080450,4.5368,3.0317,4.0678,0.5606,0.2949,0.1588
1764311080460,7.6116,4.8287,2.1248,-0.2631,1.0635,0.0648
1764311080470,5.0393,5.6136,1.0122,-1.0484,1.0553,-0.3118
1764311080480,2.6225,3.3117,4.934,-1.821,0.4678,-1.0007
1764311080490,1.3639,1.9023,9.0425,-1.783,0.4194,-0.688
1764311080500,1.7587,3.2112,11.0237,-1.4465,0.905,-0.1216
1764311080510,3.2303,3.8118,9.6861,-1.1174,0.9716,0.1677
1764311080520,4.3669,3.3428,9.7364,-0.8186,0.5663,0.1451
1764311080530,4.7809,2.7015,10.9328,-0.5818,0.3433,0.0414
1764311080540,4.3837,2.3282,11.4042,-0.2903,0.3018,-0.1054
