Timestamp,ax,ay,az,gx,gy,gz
1764393810310,-0.5886,5.6016,8.4132,-0.0171,-0.0867,-0.1115
1764393810320,-1.407,5.5466,8.2935,0.022,-0.1132,-0.0933
1764393810330,-1.4381,5.2738,8.351,0.0727,-0.2104,0.0122
1764393810340,-1.2275,5.1733,8.5615,0.1622,-0.3228,0.1454
1764393810350,-0.9093,5.5226,8.8463,0.2769,-0.4539,0.2033
1764393810360,-0.749,5.6877,8.9563,0.3694,-0.5139,0.2175
1764393810370,-0.5288,5.9222,8.8917,0.5223,-0.631,0.2213
1764393810380,-0.3996,6.0969,8.6716,0.6749,-0.6778,0.2014
1764393810390,-0.2465,6.2453,8.5089,0.7227,-0.6535,0.2162
1764393810400,0.2489,6.4893,8.3127,0.6689,-0.4322,0.3028
1764393810410,2.656,7.0205,8.394,0.511,-0.0237,0.3175
1764393810420,4.2018,7.3292,7.6618,0.3189,0.3865,0.2889
1764393810430,0.5862,7.6092,6.8507,-0.2647,0.8001,0.0596
1764393810440,-0.7155,7.6714,7.7216,-0.4534,0.7608,-0.0623
1764393810450,-0.9547,5.8863,8.8032,-0.328,0.2338,-0.1045
1764393810460,-0.7729,5.1422,9.9924,-0.1038,-0.1084,-0.0473
1764393810470,-0.6796,4.9675,10.8802,0.1046,-0.1613,-0.004
1764393810480,-0.0885,5.0656,10.3825,0.5316,0.2821,0.0487
