Device: cuda, workers=14
Kernel sizes: [3, 5, 7, 9]
Channels: (32, 64)

========== Phase 1: Training Teachers (kernel size sweep) ==========
[teacher_k5] Epoch 44/50 | train=0.9768 | val=0.9803
[teacher_k5] Epoch 45/50 | train=0.9793 | val=0.9862
[teacher_k5] Epoch 46/50 | train=0.9753 | val=0.9625
[teacher_k5] Epoch 47/50 | train=0.9807 | val=0.9744
[teacher_k5] Epoch 48/50 | train=0.9827 | val=0.9645
[teacher_k5] Epoch 49/50 | train=0.9753 | val=0.9625
[teacher_k5] Epoch 50/50 | train=0.9827 | val=0.9862
  Saved: ./models/snn1d_teacher_k5.pt (params=12516, 155.8KB)
[teacher_k7] Epoch 1/50 | train=0.5422 | val=0.6686
[teacher_k7] Epoch 2/50 | train=0.8588 | val=0.9428
[teacher_k7] Epoch 3/50 | train=0.9486 | val=0.9586
[teacher_k7] Epoch 4/50 | train=0.9575 | val=0.9803
[teacher_k7] Epoch 5/50 | train=0.9719 | val=0.9625
[teacher_k7] Epoch 6/50 | train=0.9733 | val=0.9822
[teacher_k7] Epoch 7/50 | train=0.9714 | val=0.9684
[teacher_k7] Epoch 8/50 | train=0.9753 | val=0.9724
[teacher_k7] Epoch 9/50 | train=0.9733 | val=0.9822
[teacher_k7] Epoch 10/50 | train=0.9783 | val=0.9803
[teacher_k7] Epoch 11/50 | train=0.9763 | val=0.9803
[teacher_k7] Epoch 12/50 | train=0.9773 | val=0.9842
[teacher_k7] Epoch 13/50 | train=0.9783 | val=0.9822
[teacher_k7] Epoch 14/50 | train=0.9763 | val=0.9822
[teacher_k7] Epoch 15/50 | train=0.9763 | val=0.9842
[teacher_k7] Epoch 16/50 | train=0.9778 | val=0.9586
[teacher_k7] Epoch 17/50 | train=0.9812 | val=0.9862
[teacher_k7] Epoch 18/50 | train=0.9748 | val=0.9763
[teacher_k7] Epoch 19/50 | train=0.9783 | val=0.9783
[teacher_k7] Epoch 20/50 | train=0.9827 | val=0.9882
[teacher_k7] Epoch 21/50 | train=0.9788 | val=0.9862
[teacher_k7] Epoch 22/50 | train=0.9832 | val=0.9822
[teacher_k7] Epoch 23/50 | train=0.9827 | val=0.9783
[teacher_k7] Epoch 24/50 | train=0.9827 | val=0.9783
[teacher_k7] Epoch 25/50 | train=0.9788 | val=0.9704
[teacher_k7] Epoch 26/50 | train=0.9753 | val=0.9842
[teacher_k7] Epoch 27/50 | train=0.9817 | val=0.9882
[teacher_k7] Epoch 28/50 | train=0.9837 | val=0.9862
[teacher_k7] Epoch 29/50 | train=0.9788 | val=0.9882
[teacher_k7] Epoch 30/50 | train=0.9793 | val=0.9842
[teacher_k7] Epoch 31/50 | train=0.9817 | val=0.9901
[teacher_k7] Epoch 32/50 | train=0.9847 | val=0.9822
[teacher_k7] Epoch 33/50 | train=0.9827 | val=0.9842
[teacher_k7] Epoch 34/50 | train=0.9812 | val=0.9842
[teacher_k7] Epoch 35/50 | train=0.9842 | val=0.9862
[teacher_k7] Epoch 36/50 | train=0.9832 | val=0.9862
[teacher_k7] Epoch 37/50 | train=0.9793 | val=0.9862
[teacher_k7] Epoch 38/50 | train=0.9793 | val=0.9822
[teacher_k7] Epoch 39/50 | train=0.9852 | val=0.9862
[teacher_k7] Epoch 40/50 | train=0.9842 | val=0.9882
[teacher_k7] Epoch 41/50 | train=0.9827 | val=0.9882
[teacher_k7] Epoch 42/50 | train=0.9852 | val=0.9862
[teacher_k7] Epoch 43/50 | train=0.9837 | val=0.9842
[teacher_k7] Epoch 44/50 | train=0.9862 | val=0.9882
[teacher_k7] Epoch 45/50 | train=0.9872 | val=0.9803
[teacher_k7] Epoch 46/50 | train=0.9793 | val=0.9862
[teacher_k7] Epoch 47/50 | train=0.9837 | val=0.9803
[teacher_k7] Epoch 48/50 | train=0.9847 | val=0.9882
[teacher_k7] Epoch 49/50 | train=0.9842 | val=0.9882
[teacher_k7] Epoch 50/50 | train=0.9793 | val=0.9822
  Saved: ./models/snn1d_teacher_k7.pt (params=17380, 174.8KB)
[teacher_k9] Epoch 1/50 | train=0.5086 | val=0.7278
[teacher_k9] Epoch 2/50 | train=0.8523 | val=0.9507
[teacher_k9] Epoch 3/50 | train=0.9580 | val=0.9606
[teacher_k9] Epoch 4/50 | train=0.9669 | val=0.9763
[teacher_k9] Epoch 5/50 | train=0.9674 | val=0.9586
[teacher_k9] Epoch 6/50 | train=0.9733 | val=0.9724
[teacher_k9] Epoch 7/50 | train=0.9763 | val=0.9744
[teacher_k9] Epoch 8/50 | train=0.9748 | val=0.9724
[teacher_k9] Epoch 9/50 | train=0.9728 | val=0.9803
[teacher_k9] Epoch 10/50 | train=0.9768 | val=0.9783
[teacher_k9] Epoch 11/50 | train=0.9728 | val=0.9724
[teacher_k9] Epoch 12/50 | train=0.9694 | val=0.9783
[teacher_k9] Epoch 13/50 | train=0.9773 | val=0.9842
[teacher_k9] Epoch 14/50 | train=0.9768 | val=0.9822
[teacher_k9] Epoch 15/50 | train=0.9778 | val=0.9862
[teacher_k9] Epoch 16/50 | train=0.9807 | val=0.9783
[teacher_k9] Epoch 17/50 | train=0.9793 | val=0.9763
[teacher_k9] Epoch 18/50 | train=0.9783 | val=0.9822
[teacher_k9] Epoch 19/50 | train=0.9788 | val=0.9803
[teacher_k9] Epoch 20/50 | train=0.9758 | val=0.9822
[teacher_k9] Epoch 21/50 | train=0.9812 | val=0.9803
[teacher_k9] Epoch 22/50 | train=0.9783 | val=0.9842
[teacher_k9] Epoch 23/50 | train=0.9763 | val=0.9803
[teacher_k9] Epoch 24/50 | train=0.9822 | val=0.9606
[teacher_k9] Epoch 25/50 | train=0.9753 | val=0.9862
[teacher_k9] Epoch 26/50 | train=0.9822 | val=0.9862
[teacher_k9] Epoch 27/50 | train=0.9827 | val=0.9862
[teacher_k9] Epoch 28/50 | train=0.9793 | val=0.9842
[teacher_k9] Epoch 29/50 | train=0.9798 | val=0.9803
